case_type,filing_year,state,court_level,number_of_hearings,judge_workload,historical_disposal_rate,delay_months
Commercial,2015,Maharashtra,District,6,702,0.7,24.37
Civil,2018,Delhi,High,10,287,0.78,23.84
Civil,2015,Maharashtra,Supreme,22,634,0.84,45.75
Commercial,2022,Tamil Nadu,Supreme,21,325,0.47,42.33
Civil,2018,Tamil Nadu,District,30,544,0.76,35.4
Property,2016,Maharashtra,Supreme,15,205,0.43,42.29
Family,2020,Delhi,High,3,255,0.65,11.85
Property,2013,Tamil Nadu,Supreme,34,414,0.64,50.61
Civil,2023,Tamil Nadu,High,28,362,0.58,38.36
Family,2013,Delhi,Supreme,35,786,0.68,49.31
Criminal,2021,Karnataka,High,23,477,0.52,45.15
Criminal,2020,Tamil Nadu,Supreme,17,640,0.58,51.08
Civil,2020,Karnataka,High,21,428,0.32,38.01
Property,2017,Karnataka,High,3,516,0.88,10.28
Family,2012,Tamil Nadu,District,39,612,0.83,29.76
Commercial,2012,Tamil Nadu,District,6,391,0.53,21.49
Family,2011,Tamil Nadu,Supreme,27,290,0.32,41.82
Civil,2015,Maharashtra,District,17,238,0.89,25.99
Commercial,2020,Uttar Pradesh,Supreme,25,618,0.64,51.22
Criminal,2016,Delhi,High,18,631,0.34,37.09
Criminal,2011,Karnataka,District,31,750,0.57,34.37
Civil,2020,Karnataka,High,31,560,0.57,39.91
Civil,2022,Tamil Nadu,High,31,528,0.68,38.87
Criminal,2023,Delhi,District,14,291,0.58,24.36
Civil,2013,Karnataka,Supreme,15,797,0.88,49.01
Commercial,2019,Karnataka,High,31,465,0.48,38.93
Civil,2021,Uttar Pradesh,High,28,692,0.76,37.24
Family,2016,Tamil Nadu,District,15,226,0.35,15.9
Property,2022,Maharashtra,Supreme,7,364,0.6,31.9
Criminal,2021,Maharashtra,District,9,392,0.34,24.15
Property,2021,Karnataka,District,34,695,0.47,37.07
Commercial,2016,Karnataka,High,33,498,0.38,42.94
Property,2013,Delhi,Supreme,7,353,0.74,26.28
Civil,2011,Maharashtra,Supreme,24,285,0.63,45.38
Commercial,2022,Maharashtra,High,35,345,0.43,37.12
Property,2012,Karnataka,High,30,753,0.54,37.15
Criminal,2012,Uttar Pradesh,Supreme,5,576,0.52,40.03
Property,2017,Karnataka,High,9,420,0.46,22.05
Civil,2022,Karnataka,Supreme,22,553,0.36,48.3
Family,2022,Maharashtra,District,35,663,0.67,30.6
Criminal,2022,Delhi,High,35,591,0.8,45.76
Criminal,2018,Karnataka,District,27,654,0.55,38.55
Commercial,2011,Maharashtra,Supreme,31,797,0.84,53.09
Property,2010,Delhi,High,11,484,0.55,15.6
Civil,2010,Delhi,District,25,316,0.73,29.7
Civil,2011,Maharashtra,District,18,699,0.8,23.73
Civil,2010,Maharashtra,Supreme,36,253,0.43,51.73
Criminal,2010,Karnataka,High,27,515,0.33,41.98
Property,2020,Karnataka,High,28,235,0.53,25.51
Family,2011,Delhi,Supreme,35,424,0.67,48.72
Property,2017,Maharashtra,High,39,434,0.63,32.97
Civil,2016,Uttar Pradesh,Supreme,3,588,0.5,46.01
Civil,2017,Delhi,High,14,361,0.46,27.2
Commercial,2017,Karnataka,High,18,644,0.3,34.44
Civil,2022,Delhi,District,18,365,0.3,25.82
Criminal,2021,Maharashtra,District,3,323,0.33,25.51
Criminal,2016,Tamil Nadu,High,38,523,0.68,45.52
Property,2020,Delhi,High,18,796,0.8,27.41
Commercial,2014,Uttar Pradesh,District,33,690,0.36,33.31
Civil,2023,Delhi,High,6,629,0.37,30.8
Civil,2012,Karnataka,Supreme,29,634,0.72,53.79
Criminal,2015,Delhi,Supreme,38,262,0.84,52.71
Commercial,2010,Uttar Pradesh,High,18,557,0.78,27.95
Family,2021,Uttar Pradesh,High,11,396,0.51,27.01
Family,2010,Karnataka,Supreme,22,774,0.58,39.4
Criminal,2011,Delhi,District,10,711,0.51,29.44
Property,2021,Delhi,District,29,366,0.3,31.14
Family,2020,Delhi,District,30,668,0.63,24.65
Criminal,2018,Uttar Pradesh,Supreme,11,799,0.58,49.46
Family,2017,Tamil Nadu,District,8,774,0.4,20.72
Civil,2018,Tamil Nadu,Supreme,9,463,0.5,39.98
Commercial,2014,Karnataka,District,37,410,0.36,35.86
Property,2013,Uttar Pradesh,District,37,715,0.56,31.31
Property,2021,Tamil Nadu,District,12,549,0.39,25.23
Property,2023,Maharashtra,District,5,674,0.57,13.33
Commercial,2016,Delhi,Supreme,6,523,0.59,37.97
Property,2020,Tamil Nadu,Supreme,8,389,0.35,37.02
Property,2022,Delhi,District,34,305,0.58,26.03
Criminal,2013,Maharashtra,District,13,569,0.35,30.43
Civil,2022,Delhi,High,23,498,0.62,38.02
Family,2010,Tamil Nadu,Supreme,34,457,0.45,50.44
Family,2021,Tamil Nadu,District,39,443,0.73,29.64
Family,2010,Uttar Pradesh,High,19,468,0.77,28.11
Family,2023,Karnataka,District,23,680,0.49,27.1
Criminal,2018,Uttar Pradesh,District,24,200,0.87,28.15
Civil,2016,Tamil Nadu,District,12,643,0.48,29.57
Criminal,2019,Uttar Pradesh,High,36,620,0.44,48.75
Civil,2015,Karnataka,Supreme,34,796,0.78,57.11
Property,2017,Uttar Pradesh,High,27,235,0.73,30.7
Commercial,2012,Delhi,High,31,642,0.74,36.36
Commercial,2015,Tamil Nadu,District,39,706,0.86,36.45
Property,2011,Tamil Nadu,High,37,496,0.64,28.96
Family,2011,Karnataka,High,34,792,0.47,39.18
Property,2017,Tamil Nadu,District,5,292,0.76,11.11
Property,2021,Karnataka,High,39,672,0.48,44.68
Civil,2016,Uttar Pradesh,Supreme,11,208,0.42,39.01
Criminal,2010,Maharashtra,Supreme,20,310,0.88,47.9
Property,2014,Uttar Pradesh,Supreme,3,360,0.75,27.82
Family,2017,Maharashtra,District,15,783,0.7,23.33
Criminal,2022,Karnataka,District,4,261,0.61,24.55
Civil,2012,Maharashtra,High,24,342,0.88,28.69
Commercial,2012,Tamil Nadu,Supreme,37,718,0.42,58.79
Property,2020,Uttar Pradesh,District,11,233,0.67,11.05
Commercial,2023,Tamil Nadu,High,20,629,0.79,32.39
Commercial,2023,Delhi,High,18,285,0.59,26.47
Civil,2011,Karnataka,Supreme,38,283,0.43,57.82
Criminal,2010,Delhi,District,22,509,0.58,28.47
Family,2019,Maharashtra,District,24,238,0.38,25.46
Property,2018,Maharashtra,District,32,246,0.74,26.4
Property,2019,Delhi,High,10,768,0.51,24.45
Family,2013,Karnataka,High,37,527,0.34,38.11
Civil,2023,Uttar Pradesh,High,24,352,0.74,34.67
Family,2012,Maharashtra,District,17,216,0.31,23.13
Criminal,2020,Maharashtra,District,35,345,0.8,33.24
Civil,2019,Delhi,High,18,553,0.6,34.85
Family,2020,Delhi,Supreme,25,230,0.6,41.33
Family,2019,Delhi,Supreme,11,770,0.69,36.04
Commercial,2022,Uttar Pradesh,High,14,794,0.67,29.29
Criminal,2012,Tamil Nadu,District,23,694,0.85,27.11
Commercial,2016,Delhi,Supreme,15,238,0.36,41.63
Family,2017,Tamil Nadu,District,35,619,0.79,29.97
Criminal,2010,Karnataka,District,11,312,0.83,21.67
Property,2016,Delhi,District,33,735,0.54,35.74
Commercial,2021,Karnataka,Supreme,5,727,0.89,35.31
Property,2016,Maharashtra,High,4,780,0.45,24.54
Commercial,2015,Maharashtra,District,31,273,0.66,29.52
Criminal,2021,Tamil Nadu,District,25,525,0.8,33.81
Commercial,2017,Karnataka,High,38,667,0.84,36.48
Commercial,2022,Uttar Pradesh,Supreme,13,584,0.54,42.38
Criminal,2023,Karnataka,District,38,777,0.35,45.69
Civil,2013,Tamil Nadu,High,37,787,0.47,47.94
Commercial,2019,Delhi,High,8,325,0.64,24.33
Property,2021,Delhi,Supreme,11,756,0.47,42.38
Property,2013,Uttar Pradesh,Supreme,4,289,0.54,34.65
Commercial,2011,Karnataka,High,20,421,0.76,26.44
Criminal,2023,Delhi,Supreme,33,379,0.6,47.55
Commercial,2012,Maharashtra,District,14,587,0.86,21.71
Civil,2013,Maharashtra,Supreme,16,468,0.44,47.99
Civil,2022,Delhi,District,23,407,0.66,33.06
Commercial,2011,Delhi,District,28,717,0.49,27.38
Commercial,2013,Tamil Nadu,District,27,759,0.79,32.83
Commercial,2023,Tamil Nadu,High,25,271,0.66,34.33
Property,2019,Uttar Pradesh,District,10,463,0.74,9.81
Family,2021,Uttar Pradesh,District,17,511,0.63,20.08
Criminal,2013,Delhi,District,26,609,0.47,34.1
Civil,2015,Uttar Pradesh,District,10,622,0.75,25.38
Commercial,2019,Tamil Nadu,District,12,708,0.76,23.02
Civil,2013,Uttar Pradesh,Supreme,33,493,0.71,47.74
Commercial,2010,Tamil Nadu,Supreme,38,607,0.66,56.33
Property,2018,Karnataka,High,17,728,0.58,30.57
Civil,2019,Tamil Nadu,High,27,244,0.36,37.51
Family,2018,Maharashtra,District,20,551,0.85,17.78
Criminal,2015,Maharashtra,District,24,703,0.68,33.86
Commercial,2021,Delhi,Supreme,33,722,0.31,60.95
Civil,2010,Maharashtra,Supreme,21,579,0.56,48.88
Commercial,2021,Maharashtra,District,38,359,0.35,33.64
Commercial,2012,Maharashtra,Supreme,16,424,0.51,46.66
Property,2011,Maharashtra,Supreme,20,565,0.62,38.72
Family,2020,Delhi,District,17,370,0.38,19.33
Property,2016,Tamil Nadu,Supreme,19,628,0.5,37.83
Criminal,2021,Maharashtra,High,3,642,0.44,30.49
Commercial,2016,Uttar Pradesh,High,39,669,0.77,49.19
Property,2022,Karnataka,District,6,204,0.72,12.44
Civil,2017,Uttar Pradesh,Supreme,7,520,0.85,40.12
Family,2011,Uttar Pradesh,District,31,378,0.52,23.64
Family,2022,Delhi,High,16,487,0.69,26.86
Commercial,2017,Tamil Nadu,District,10,513,0.81,16.07
Criminal,2020,Karnataka,High,4,209,0.85,23.59
Property,2023,Maharashtra,High,31,301,0.71,25.22
Civil,2012,Tamil Nadu,District,7,620,0.38,30.71
Property,2012,Maharashtra,Supreme,5,651,0.7,27.88
Civil,2014,Tamil Nadu,Supreme,13,217,0.52,43.52
Civil,2015,Maharashtra,District,10,697,0.83,28.67
Family,2021,Tamil Nadu,Supreme,20,738,0.59,46.19
Family,2021,Uttar Pradesh,District,15,679,0.85,15.79
Commercial,2013,Karnataka,Supreme,18,725,0.5,45.64
Civil,2016,Maharashtra,District,11,426,0.9,19.41
Property,2017,Uttar Pradesh,Supreme,13,317,0.63,34.4
Civil,2022,Maharashtra,Supreme,16,491,0.5,45.94
Property,2022,Maharashtra,District,24,358,0.62,22.6
Commercial,2010,Karnataka,District,13,268,0.43,21.33
Property,2014,Tamil Nadu,District,6,743,0.68,12.58
Commercial,2011,Tamil Nadu,District,25,490,0.4,28.7
Commercial,2021,Karnataka,Supreme,19,241,0.48,48.58
Commercial,2013,Karnataka,District,30,381,0.49,30.42
Commercial,2021,Maharashtra,District,6,775,0.33,21.08
Family,2022,Delhi,High,27,441,0.66,31.94
Property,2016,Maharashtra,High,13,239,0.88,20.28
Property,2010,Uttar Pradesh,Supreme,5,649,0.81,31.17
Commercial,2013,Delhi,Supreme,26,732,0.63,49.9
Civil,2011,Maharashtra,High,25,415,0.9,30.79
Family,2017,Tamil Nadu,Supreme,25,378,0.78,35.99
Criminal,2019,Maharashtra,Supreme,30,258,0.51,48.41
Commercial,2010,Delhi,High,4,618,0.54,23.42
Family,2010,Tamil Nadu,Supreme,15,798,0.53,41.23
Civil,2013,Maharashtra,Supreme,33,723,0.56,51.66
Family,2013,Uttar Pradesh,Supreme,4,441,0.73,27.28
Property,2010,Uttar Pradesh,High,25,487,0.49,29.45
Criminal,2010,Maharashtra,High,36,328,0.67,45.55
Commercial,2023,Uttar Pradesh,District,18,415,0.62,27.08
Property,2017,Delhi,District,20,539,0.44,21.57
Family,2013,Tamil Nadu,Supreme,38,289,0.7,44.01
Criminal,2022,Tamil Nadu,Supreme,23,449,0.9,44.98
Family,2021,Uttar Pradesh,Supreme,33,322,0.61,40.86
Criminal,2017,Delhi,District,15,205,0.62,27.03
Property,2011,Uttar Pradesh,District,28,203,0.9,17.93
Commercial,2018,Karnataka,Supreme,34,558,0.75,50.9
Property,2021,Tamil Nadu,District,35,481,0.35,28.71
Family,2017,Tamil Nadu,District,8,323,0.55,9.53
Property,2016,Delhi,High,12,255,0.3,24.4
Criminal,2022,Tamil Nadu,High,8,464,0.33,30.59
Family,2012,Karnataka,High,12,239,0.35,23.01
Criminal,2023,Karnataka,High,8,484,0.42,29.18
Property,2012,Uttar Pradesh,High,17,768,0.84,24.63
Civil,2010,Uttar Pradesh,High,22,433,0.58,35.67
Commercial,2020,Uttar Pradesh,District,34,566,0.63,31.8
Commercial,2023,Tamil Nadu,District,11,414,0.65,17.92
Property,2023,Delhi,District,28,729,0.89,22.61
Commercial,2013,Maharashtra,District,38,786,0.55,40.03
Family,2015,Maharashtra,Supreme,8,420,0.32,34.49
Family,2016,Uttar Pradesh,District,11,579,0.87,8.59
Civil,2022,Tamil Nadu,Supreme,33,264,0.31,51.97
Family,2022,Maharashtra,District,37,587,0.86,26.59
Civil,2020,Karnataka,District,33,348,0.76,36.52
Property,2014,Uttar Pradesh,District,4,650,0.62,17.23
Family,2013,Delhi,High,39,318,0.61,32.84
Commercial,2015,Maharashtra,District,35,727,0.72,31.61
Family,2018,Tamil Nadu,District,36,294,0.75,30.57
Commercial,2011,Tamil Nadu,High,14,276,0.64,25.54
Family,2019,Tamil Nadu,High,30,642,0.78,35.13
Family,2019,Delhi,Supreme,32,714,0.77,42.41
Family,2015,Delhi,High,20,386,0.47,26.89
Criminal,2018,Maharashtra,High,9,309,0.81,22.97
Family,2023,Maharashtra,High,4,768,0.62,24.2
Criminal,2016,Karnataka,High,20,397,0.61,32.77
Commercial,2018,Uttar Pradesh,High,29,317,0.48,35.89
Commercial,2021,Tamil Nadu,High,36,415,0.5,38.13
Family,2021,Uttar Pradesh,High,30,539,0.51,35.85
Family,2017,Tamil Nadu,High,7,486,0.6,21.2
Commercial,2014,Uttar Pradesh,District,28,654,0.33,34.88
Property,2018,Maharashtra,Supreme,24,332,0.85,39.67
Criminal,2023,Uttar Pradesh,District,23,464,0.82,29.39
Commercial,2012,Delhi,Supreme,31,794,0.46,55.39
Civil,2014,Karnataka,Supreme,36,703,0.74,55.84
Civil,2013,Delhi,Supreme,33,289,0.87,48.98
Property,2018,Delhi,Supreme,28,381,0.37,42.73
Commercial,2013,Maharashtra,High,24,400,0.66,32.71
Civil,2017,Karnataka,High,22,497,0.83,32.68
Civil,2014,Tamil Nadu,Supreme,11,578,0.52,43.49
Family,2012,Delhi,High,27,270,0.81,25.74
Civil,2013,Tamil Nadu,District,18,622,0.57,24.81
Commercial,2014,Maharashtra,High,37,722,0.44,44.27
Civil,2019,Karnataka,District,37,722,0.45,42.18
Criminal,2013,Karnataka,Supreme,23,504,0.3,47.67
Criminal,2012,Tamil Nadu,District,34,465,0.51,42.21
Family,2021,Karnataka,Supreme,28,350,0.38,40.95
Property,2018,Tamil Nadu,Supreme,39,225,0.6,42.63
Family,2022,Uttar Pradesh,District,7,261,0.33,13.47
Commercial,2021,Maharashtra,Supreme,13,431,0.72,39.89
Criminal,2017,Delhi,Supreme,18,301,0.47,51.82
Civil,2017,Tamil Nadu,High,21,458,0.78,34.55
Civil,2011,Uttar Pradesh,Supreme,12,486,0.56,46.42
Civil,2023,Delhi,Supreme,28,329,0.7,51.62
Civil,2016,Karnataka,District,34,741,0.51,43.66
Criminal,2011,Karnataka,District,38,588,0.52,43.47
Family,2011,Maharashtra,Supreme,14,309,0.5,34.77
Criminal,2015,Maharashtra,District,19,549,0.32,30.72
Commercial,2021,Karnataka,District,22,753,0.36,28.96
Civil,2010,Uttar Pradesh,High,17,335,0.89,29.64
Family,2017,Uttar Pradesh,District,33,662,0.68,21.98
Commercial,2013,Delhi,District,11,700,0.61,24.56
Commercial,2011,Maharashtra,District,39,232,0.76,26.35
Criminal,2021,Delhi,District,8,728,0.59,30.05
Commercial,2023,Tamil Nadu,Supreme,7,750,0.35,38.79
Criminal,2017,Maharashtra,High,25,363,0.63,38.02
Property,2013,Delhi,Supreme,25,706,0.78,43.96
Civil,2016,Maharashtra,Supreme,16,480,0.77,45.1
Commercial,2019,Karnataka,District,15,517,0.59,25.22
Criminal,2011,Delhi,District,17,589,0.73,26.53
Commercial,2022,Tamil Nadu,Supreme,19,450,0.37,49.04
Property,2023,Uttar Pradesh,High,30,682,0.56,34.64
Criminal,2017,Uttar Pradesh,High,22,798,0.5,39.8
Civil,2012,Karnataka,Supreme,14,299,0.61,40.05
Criminal,2011,Karnataka,High,36,287,0.83,42.03
Civil,2019,Tamil Nadu,High,38,208,0.52,39.07
Property,2018,Uttar Pradesh,District,29,644,0.62,26.28
Commercial,2022,Karnataka,Supreme,36,796,0.84,56.62
Family,2023,Karnataka,High,25,656,0.9,25.36
Civil,2011,Uttar Pradesh,District,38,393,0.8,33.8
Family,2018,Karnataka,Supreme,38,678,0.85,51.09
Criminal,2014,Maharashtra,Supreme,32,783,0.51,52.69
Criminal,2017,Karnataka,District,3,552,0.3,32.93
Civil,2011,Tamil Nadu,District,31,516,0.85,37.28
Civil,2016,Tamil Nadu,High,13,228,0.38,34.6
Family,2017,Uttar Pradesh,Supreme,21,722,0.89,33.03
Civil,2013,Delhi,Supreme,4,293,0.76,37.4
Property,2010,Karnataka,District,32,696,0.59,27.1
Criminal,2011,Delhi,District,6,689,0.89,22.97
Property,2017,Tamil Nadu,District,36,418,0.47,28.54
Family,2019,Delhi,Supreme,32,589,0.7,46.01
Criminal,2014,Karnataka,High,19,666,0.6,30.23
Property,2016,Maharashtra,High,13,500,0.62,27.26
Property,2022,Delhi,High,33,302,0.63,35.24
Property,2020,Uttar Pradesh,High,38,292,0.69,31.14
Commercial,2011,Delhi,High,19,706,0.59,34.25
Property,2023,Delhi,High,13,710,0.32,31.6
Commercial,2012,Uttar Pradesh,Supreme,13,617,0.32,45.14
Commercial,2018,Uttar Pradesh,High,24,522,0.4,32.95
Property,2016,Tamil Nadu,High,27,777,0.69,28.69
Property,2013,Maharashtra,District,23,278,0.63,16.59
Family,2023,Karnataka,Supreme,30,269,0.49,45.4
Civil,2022,Delhi,District,25,257,0.5,24.86
Property,2016,Delhi,District,4,270,0.64,12.18
Commercial,2015,Delhi,Supreme,6,307,0.67,32.66
Commercial,2020,Maharashtra,District,18,605,0.57,24.5
Family,2011,Delhi,Supreme,30,344,0.63,42.75
Criminal,2011,Tamil Nadu,Supreme,38,389,0.83,55.24
Property,2023,Delhi,District,4,683,0.51,11.47
Civil,2014,Tamil Nadu,Supreme,33,374,0.37,52.85
Family,2017,Uttar Pradesh,District,36,302,0.77,26.81
Civil,2010,Delhi,High,21,477,0.79,36.32
Criminal,2016,Uttar Pradesh,District,10,378,0.34,27.57
Criminal,2018,Karnataka,Supreme,22,511,0.71,48.57
Family,2011,Tamil Nadu,High,37,787,0.7,41.34
Property,2020,Karnataka,District,23,322,0.35,24.86
Property,2020,Uttar Pradesh,High,29,714,0.49,33.25
Family,2013,Delhi,High,9,712,0.69,25.65
Family,2023,Uttar Pradesh,High,14,526,0.54,28.05
Commercial,2010,Uttar Pradesh,District,17,686,0.57,28.62
Family,2018,Karnataka,District,20,202,0.64,21.11
Civil,2021,Delhi,District,33,668,0.52,34.27
Civil,2020,Maharashtra,Supreme,3,445,0.81,29.99
Criminal,2019,Tamil Nadu,District,3,627,0.72,23.25
Civil,2012,Tamil Nadu,Supreme,21,696,0.39,51.62
Civil,2017,Delhi,District,6,716,0.42,27.38
Property,2018,Tamil Nadu,Supreme,26,328,0.63,38.25
Criminal,2017,Karnataka,High,25,207,0.56,34.49
Property,2023,Uttar Pradesh,District,10,580,0.4,18.34
Property,2016,Uttar Pradesh,High,32,756,0.38,43.05
Family,2010,Tamil Nadu,District,24,476,0.4,22.21
Civil,2022,Maharashtra,Supreme,8,632,0.74,41.4
Civil,2015,Maharashtra,High,39,471,0.6,44.35
Civil,2010,Delhi,District,19,752,0.33,39.74
Property,2017,Delhi,High,18,241,0.53,25.27
Family,2021,Maharashtra,District,35,690,0.77,29.26
Civil,2017,Uttar Pradesh,High,27,543,0.9,32.97
Property,2023,Delhi,District,11,245,0.73,13.36
Civil,2017,Tamil Nadu,High,35,300,0.89,36.1
Family,2015,Delhi,District,18,298,0.5,17.59
Criminal,2023,Karnataka,Supreme,5,223,0.38,39.54
Criminal,2019,Uttar Pradesh,Supreme,7,305,0.55,42.34
Commercial,2014,Maharashtra,High,4,636,0.46,30.1
Civil,2012,Maharashtra,District,36,224,0.87,27.83
Commercial,2022,Delhi,District,14,542,0.75,20.42
Civil,2014,Uttar Pradesh,Supreme,11,678,0.89,44.98
Commercial,2023,Uttar Pradesh,High,25,479,0.3,38.89
Civil,2015,Tamil Nadu,District,21,361,0.75,31.79
Commercial,2021,Uttar Pradesh,Supreme,30,786,0.78,54.34
Criminal,2012,Maharashtra,Supreme,29,508,0.77,49.27
Family,2012,Karnataka,Supreme,3,749,0.89,32.27
Property,2013,Maharashtra,Supreme,6,539,0.57,32.25
Criminal,2011,Tamil Nadu,Supreme,28,363,0.87,42.57
Family,2020,Maharashtra,High,35,283,0.63,32.01
Commercial,2013,Uttar Pradesh,High,23,498,0.6,35.5
Property,2010,Uttar Pradesh,High,14,393,0.64,22.71
Criminal,2014,Delhi,Supreme,36,473,0.83,55.52
Criminal,2023,Tamil Nadu,High,33,659,0.42,52.48
Property,2013,Tamil Nadu,High,33,363,0.42,32.62
Civil,2015,Tamil Nadu,High,29,329,0.42,43.26
Property,2018,Karnataka,High,21,704,0.67,26.16
Criminal,2019,Tamil Nadu,District,28,426,0.44,40.2
Commercial,2022,Uttar Pradesh,Supreme,32,315,0.72,43.65
Family,2022,Tamil Nadu,Supreme,9,517,0.89,33.0
Family,2012,Delhi,Supreme,12,483,0.55,31.56
Family,2014,Maharashtra,Supreme,20,434,0.57,32.76
Civil,2014,Maharashtra,District,3,387,0.3,22.78
Commercial,2021,Uttar Pradesh,District,13,416,0.79,16.82
Family,2012,Delhi,Supreme,3,702,0.76,23.98
Commercial,2011,Delhi,High,26,633,0.68,37.8
Criminal,2020,Uttar Pradesh,High,38,694,0.52,45.8
Family,2011,Karnataka,District,6,518,0.39,17.74
Criminal,2020,Tamil Nadu,District,12,751,0.79,27.99
Family,2020,Uttar Pradesh,Supreme,8,305,0.64,28.8
Property,2012,Maharashtra,Supreme,32,360,0.59,42.83
Family,2010,Maharashtra,District,20,337,0.56,24.91
Criminal,2019,Karnataka,Supreme,19,433,0.4,55.64
Family,2015,Tamil Nadu,High,10,456,0.64,20.64
Family,2022,Uttar Pradesh,Supreme,21,560,0.81,35.91
Property,2011,Maharashtra,High,39,491,0.72,37.04
Criminal,2015,Maharashtra,High,37,380,0.36,44.68
Commercial,2023,Delhi,Supreme,33,321,0.48,48.7
Criminal,2019,Uttar Pradesh,High,6,495,0.53,30.15
Civil,2014,Delhi,Supreme,37,508,0.74,55.0
Criminal,2018,Delhi,Supreme,6,597,0.52,41.01
Civil,2011,Tamil Nadu,District,22,584,0.78,31.45
Property,2013,Maharashtra,District,15,339,0.71,14.44
Family,2018,Karnataka,High,5,676,0.78,23.62
Civil,2017,Karnataka,High,21,715,0.56,36.34
Civil,2015,Uttar Pradesh,High,4,584,0.54,26.97
Family,2012,Uttar Pradesh,District,7,759,0.63,14.9
Civil,2021,Delhi,High,5,318,0.31,24.54
Property,2019,Delhi,Supreme,35,439,0.53,47.21
Property,2022,Uttar Pradesh,Supreme,38,212,0.8,41.27
Commercial,2022,Tamil Nadu,Supreme,28,421,0.6,45.52
Civil,2021,Karnataka,High,39,523,0.82,44.6
Family,2019,Karnataka,Supreme,31,240,0.73,31.78
Criminal,2018,Tamil Nadu,Supreme,23,343,0.61,47.07
Family,2018,Karnataka,District,37,252,0.38,27.26
Criminal,2017,Maharashtra,District,11,691,0.31,30.0
Property,2012,Maharashtra,High,12,365,0.73,17.81
Criminal,2016,Tamil Nadu,High,32,357,0.35,49.85
Family,2017,Maharashtra,Supreme,35,615,0.66,47.44
Property,2022,Maharashtra,District,37,258,0.51,27.12
Commercial,2022,Karnataka,District,12,713,0.46,28.32
Commercial,2018,Uttar Pradesh,District,17,607,0.32,32.58
Property,2011,Karnataka,Supreme,31,441,0.52,46.38
Civil,2011,Karnataka,District,8,464,0.61,19.54
Family,2016,Delhi,High,7,446,0.57,20.5
Criminal,2016,Delhi,High,29,204,0.35,37.5
Property,2022,Maharashtra,High,12,444,0.65,20.12
Family,2013,Delhi,High,18,718,0.45,27.17
Criminal,2010,Tamil Nadu,High,28,380,0.79,39.68
Civil,2011,Uttar Pradesh,Supreme,25,799,0.35,50.53
Criminal,2012,Maharashtra,Supreme,32,714,0.83,55.3
Property,2015,Uttar Pradesh,District,9,207,0.88,8.19
Civil,2016,Karnataka,District,39,526,0.68,38.42
Criminal,2011,Uttar Pradesh,Supreme,29,719,0.7,46.79
Property,2023,Tamil Nadu,Supreme,14,506,0.57,39.25
Property,2012,Karnataka,District,34,338,0.79,21.99
Family,2013,Delhi,High,16,213,0.51,22.14
Civil,2023,Maharashtra,High,9,750,0.78,28.04
Family,2013,Maharashtra,Supreme,3,480,0.6,26.24
Family,2012,Tamil Nadu,High,11,296,0.44,16.74
Property,2011,Karnataka,Supreme,32,208,0.52,40.01
Property,2023,Maharashtra,District,5,613,0.31,20.17
Family,2012,Maharashtra,Supreme,20,276,0.9,36.74
Civil,2019,Uttar Pradesh,District,7,491,0.71,25.48
Property,2015,Uttar Pradesh,Supreme,25,716,0.57,46.23
Family,2022,Uttar Pradesh,High,33,334,0.79,27.16
Criminal,2018,Delhi,District,34,739,0.32,40.34
Commercial,2010,Uttar Pradesh,Supreme,12,269,0.54,35.03
Commercial,2012,Delhi,District,18,269,0.38,26.06
Criminal,2019,Tamil Nadu,High,24,746,0.7,37.3
Criminal,2023,Delhi,High,17,585,0.76,35.22
Criminal,2022,Maharashtra,High,20,303,0.59,37.6
Criminal,2018,Tamil Nadu,Supreme,33,530,0.56,58.52
Property,2014,Uttar Pradesh,District,27,283,0.9,16.9
Civil,2012,Delhi,Supreme,11,230,0.31,41.25
Property,2014,Uttar Pradesh,District,26,697,0.69,23.61
Civil,2018,Delhi,District,16,602,0.75,26.76
Family,2018,Uttar Pradesh,Supreme,28,555,0.8,40.33
Family,2013,Delhi,High,13,449,0.83,20.03
Commercial,2012,Delhi,District,22,467,0.47,30.76
Property,2021,Uttar Pradesh,District,20,303,0.64,18.35
Family,2010,Karnataka,Supreme,22,507,0.34,42.32
Criminal,2023,Karnataka,District,12,552,0.82,25.35
Family,2021,Uttar Pradesh,High,39,321,0.74,36.68
Family,2023,Tamil Nadu,High,9,498,0.78,16.72
Commercial,2012,Delhi,High,25,417,0.61,30.53
Criminal,2020,Karnataka,Supreme,26,513,0.39,50.26
Civil,2022,Delhi,Supreme,36,505,0.33,60.86
Property,2023,Karnataka,Supreme,30,553,0.64,43.94
Commercial,2015,Tamil Nadu,High,15,366,0.66,23.91
Commercial,2013,Uttar Pradesh,High,22,646,0.67,32.24
Property,2012,Karnataka,Supreme,20,576,0.57,36.62
Property,2012,Delhi,High,10,414,0.69,20.69
Commercial,2022,Delhi,District,3,302,0.5,15.89
Property,2014,Maharashtra,High,6,250,0.33,20.46
Commercial,2021,Karnataka,High,30,499,0.71,41.09
Civil,2018,Maharashtra,Supreme,16,703,0.31,48.22
Commercial,2011,Delhi,High,10,697,0.51,34.61
Criminal,2015,Tamil Nadu,High,12,226,0.41,33.52
Property,2014,Tamil Nadu,High,10,326,0.59,19.66
Criminal,2017,Tamil Nadu,High,36,370,0.84,42.02
Criminal,2011,Uttar Pradesh,High,5,329,0.53,26.03
Criminal,2020,Karnataka,District,19,704,0.34,35.69
